INSTNM,CITY,STATE,LAT,LON,X,Y
Curtis Institute of Music,Philadelphia,PA,39.948857,-75.170727,-75.17072877,39.94886506
Dean Institute of Technology,Pittsburgh,PA,40.410013,-80.015683,-80.01568632,40.41002096
Delaware Valley University,Doylestown,PA,40.29757,-75.158202,-75.15820379,40.29757813
Dickinson College,Carlisle,PA,40.202796,-77.197854,-77.19785643,40.20280404
Pennsylvania State University-Dickinson Law,Carlisle,PA,40.199443,-77.197794,-77.19779643,40.19945104
Douglas Education Center,Monessen,PA,40.161692,-79.88832,-79.88832326,40.16169992
Drexel University,Philadelphia,PA,39.954855,-75.188745,-75.18874678,39.95486307
Du Bois Business College-Du Bois,Du Bois,PA,41.124261,-78.754426,-78.75442898,41.12426915
Duquesne University,Pittsburgh,PA,40.437496,-79.993046,-79.99304932,40.43750397
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,40.99622,-75.172614,-75.17261584,40.99622827
Eastern University,Saint Davids,PA,40.052306,-75.370268,-75.37026984,40.05231408
Edinboro University of Pennsylvania,Edinboro,PA,41.869978,-80.126363,-80.12636647,41.86998623
Elizabethtown College,Elizabethtown,PA,40.149236,-76.593224,-76.59322623,40.14924405
Erie Institute of Technology Inc,Erie,PA,42.071725,-80.100853,-80.10085648,42.07173327
Evangelical Theological Seminary,Myerstown,PA,40.372981,-76.306252,-76.30625416,40.37298911
Faith Theological Seminary,Baltimore,MD,39.371639,-76.605906,-76.60590819,39.3716469
Aria Health School of Nursing,Trevose,PA,40.125175,-74.978275,-74.97827672,40.12518311
Franklin and Marshall College,Lancaster,PA,40.048045,-76.319037,-76.31903914,40.04805304
Gannon University,Erie,PA,42.128403,-80.087166,-80.08716948,42.12841128
Geneva College,Beaver Falls,PA,40.772518,-80.321826,-80.32182944,40.77252602
Gettysburg College,Gettysburg,PA,39.836091,-77.234982,-77.23498442,39.83609897
Gratz College,Melrose Park,PA,40.067206,-75.133915,-75.13391677,40.06721409
Grove City College,Grove City,PA,41.1558,-80.081481,-80.0814844,41.1558081
Gwynedd Mercy University,Gwynedd Valley,PA,40.202804,-75.236601,-75.23660281,40.20281211
Harcum College,Bryn Mawr,PA,40.022582,-75.314801,-75.31480282,40.02259007
Haverford College,Haverford,PA,40.007452,-75.305207,-75.30520882,40.00746007
Commonwealth Technical Institute,Johnstown,PA,40.304332,-78.947916,-78.94791898,40.30433999
Holy Family University,Philadelphia,PA,40.060414,-74.990365,-74.99036672,40.06042209
Hussian College School of Art,Philadelphia,PA,39.952851,-75.147292,-75.14729377,39.95285907
Brightwood Career Institute-Pittsburgh,Pittsburgh,PA,40.44424,-79.996971,-79.99697432,40.44424797
Immaculata University,Immaculata,PA,40.027981,-75.570711,-75.5707129,40.02798907
Indiana University of Pennsylvania-Main Campus,Indiana,PA,40.615589,-79.159869,-79.15987207,40.61559704
Jameson Health System,New Castle,PA,41.013434,-80.351753,-80.35175647,41.01344206
Great Lakes Institute of Technology,Erie,PA,42.079508,-80.091816,-80.09181947,42.07951627
Johnson College,Scranton,PA,41.450409,-75.642476,-75.64247802,41.45041734
Juniata College,Huntingdon,PA,40.499511,-78.015204,-78.0152067,40.49951906
Keystone College,La Plume,PA,41.558969,-75.777456,-75.77745807,41.55897735
King's College,Wilkes-Barre,PA,41.250097,-75.879822,-75.87982408,41.25010529
Kutztown University of Pennsylvania,Kutztown,PA,40.513561,-75.783933,-75.783935,40.51356915
La Roche College,Pittsburgh,PA,40.568615,-80.014851,-80.01485433,40.56862299
La Salle University,Philadelphia,PA,40.037979,-75.153061,-75.15306277,40.03798708
Lackawanna College,Scranton,PA,41.411521,-75.659319,-75.65932102,41.41152933
Lafayette College,Easton,PA,40.69956,-75.209786,-75.20978783,40.69956821
Lancaster Bible College,Lancaster,PA,40.074375,-76.287781,-76.28778313,40.07438305
Lancaster Theological Seminary,Lancaster,PA,40.045765,-76.317892,-76.31789414,40.04577304
Lansdale School of Business,North Wales,PA,40.222919,-75.288923,-75.28892483,40.22292711
Lebanon Valley College,Annville,PA,40.331733,-76.513753,-76.51375522,40.33174109
Berks Technical Institute,Wyomissing,PA,40.342994,-75.976997,-75.97699905,40.34300211
Lehigh University,Bethlehem,PA,40.607158,-75.378887,-75.37888888,40.60716619
Lincoln Technical Institute-Allentown,Allentown,PA,40.591908,-75.568979,-75.56898094,40.59191618
Lincoln Technical Institute-Philadelphia,Philadelphia,PA,40.049548,-74.999686,-74.99968773,40.04955609
Lincoln University,Lincoln University,PA,39.807725,-75.928273,-75.928275,39.80773301
Lock Haven University,Lock Haven,PA,41.142097,-77.463565,-77.46356758,41.14210521
St Margaret School of Nursing,Pittsburgh,PA,40.491134,-79.864028,-79.86403128,40.49114199
Lutheran Theological Seminary at Gettysburg,Gettysburg,PA,39.831961,-77.244231,-77.24423342,39.83196896
Lutheran Theological Seminary at Philadelphia,Philadelphia,PA,40.061636,-75.191496,-75.19149779,40.06164409
Lycoming College,Williamsport,PA,41.246127,-77.0003,-77.00030244,41.24613525
Manor College,Jenkintown,PA,40.086409,-75.103749,-75.10375076,40.08641709
Mansfield University of Pennsylvania,Mansfield,PA,41.807467,-77.073901,-77.0739035,41.80747535
Marywood University,Scranton,PA,41.434978,-75.633996,-75.63399802,41.43498634
McCann School of Business & Technology,Hazle Township,PA,40.92507,-76.040371,-76.04037311,40.92507822
Vet Tech Institute,Pittsburgh,PA,40.443961,-80.000297,-80.00030032,40.44396897
Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,40.029274,-75.21127,-75.21127179,40.02928208
Mercyhurst University,Erie,PA,42.103991,-80.055568,-80.05557146,42.10399928
Messiah College,Mechanicsburg,PA,40.15867,-76.988492,-76.98849436,40.15867804
The Workforce Institute's City College,Philadelphia,PA,39.9729,-75.158631,-75.15863277,39.97290807
Millersville University of Pennsylvania,Millersville,PA,40.000337,-76.357381,-76.35738315,40.00034503
Misericordia University,Dallas,PA,41.344765,-75.971016,-75.97101812,41.34477331
Moore College of Art and Design,Philadelphia,PA,39.957078,-75.172105,-75.17210677,39.95708607
Moravian College,Bethlehem,PA,40.630888,-75.380979,-75.38098088,40.63089619
Mount Aloysius College,Cresson,PA,40.459948,-78.601358,-78.60136089,40.45995603
Muhlenberg College,Allentown,PA,40.596416,-75.508502,-75.50850392,40.59642418
Brightwood Career Institute-Philadelphia,Philadelphia,PA,39.954553,-75.184486,-75.18448778,39.95456106
Neumann University,Aston,PA,39.874876,-75.440022,-75.44002385,39.87488404
New Castle School of Trades,New Castle,PA,41.035228,-80.401417,-80.40142049,41.03523606
Pittsburgh's Ohio Valley Hospital School of Nursing,McKees Rocks,PA,40.471404,-80.090843,-80.09084635,40.47141197
Orleans Technical College,Philadelphia,PA,40.090545,-75.011344,-75.01134573,40.0905531
Salus University,Elkins Park,PA,40.085816,-75.128089,-75.12809077,40.08582409
Pennsylvania Institute of Technology,Media,PA,39.908335,-75.38893,-75.38893184,39.90834305
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,42.119433,-79.983773,-79.98377644,42.11944128
Pennsylvania State University-Penn State Great Valley,Malvern,PA,40.052845,-75.521311,-75.52131289,40.05285307
Pennsylvania State University-College of Medicine,Hershey,PA,40.263635,-76.675608,-76.67561027,40.26364307
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,40.551159,-79.697232,-79.69723523,40.551167
Pennsylvania State University-Penn State Shenango,Sharon,PA,41.234852,-80.508204,-80.50820754,41.2348601
Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,41.306003,-76.016599,-76.01660113,41.3060113
Pennsylvania State University-Penn State Worthington Scranton,Dunmore,PA,41.440258,-75.620583,-75.62058501,41.44026634
Pennsylvania State System of Higher Education-Central Office,Harrisburg,PA,40.294887,-76.904363,-76.90436534,40.29489507
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,40.557651,-75.401798,-75.40179988,40.55765918
Pennsylvania State University-Penn State Altoona,Altoona,PA,40.540682,-78.409112,-78.40911483,40.54069006
Pennsylvania State University-Penn State Beaver,Monaca,PA,40.678254,-80.296235,-80.29623843,40.678262
Pennsylvania State University-Penn State Berks,Reading,PA,40.357987,-75.972141,-75.97214305,40.35799512
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,40.203766,-76.7423,-76.74230229,40.20377406
Pennsylvania State University-Penn State Brandywine,Media,PA,39.928355,-75.447825,-75.44782686,39.92836305
Pennsylvania State University-Penn State DuBois,DuBois,PA,41.126941,-78.751784,-78.75178698,41.12694915
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,39.947217,-79.657769,-79.65777218,39.94722489
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,40.983958,-76.031061,-76.03106311,40.98396624
Pennsylvania State University-Main Campus,University Park,PA,40.800732,-77.861644,-77.86164668,40.80074013
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,40.345582,-79.827447,-79.82745026,40.34558996
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,39.842047,-77.542355,-77.54235751,39.84205495
Pennsylvania State University-Penn State Abington,Abington,PA,40.11683,-75.109083,-75.10908476,40.1168381
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,40.640499,-76.166326,-76.16632813,40.64050716
Pennsylvania State University-Penn State York,York,PA,39.952327,-76.702835,-76.70283726,39.95233501
Peirce College,Philadelphia,PA,39.945483,-75.166332,-75.16633377,39.94549106
Penn Commercial Business/Technical School,Washington,PA,40.182387,-80.238844,-80.23884737,40.18239491
Pennco Tech-Bristol,Bristol,PA,40.098227,-74.868897,-74.86889869,40.0982351
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,39.954736,-75.162718,-75.16271977,39.95474407
Pennsylvania Gunsmith School,Pittsburgh,PA,40.496686,-80.068551,-80.06855434,40.49669398
Pennsylvania Institute of Taxidermy Inc,Ebensburg,PA,40.464581,-78.755932,-78.75593493,40.46458903
Cortiva Institute-Pennsylvania School of Muscle Therapy,King of Prussia,PA,40.08063,-75.378356,-75.37835785,40.08063808
Pennsylvania College of Art and Design,Lancaster,PA,40.041152,-76.308769,-76.30877114,40.04116004
University of Pennsylvania,Philadelphia,PA,39.950929,-75.19391,-75.19391178,39.95093706
Philadelphia University,Philadelphia,PA,40.022882,-75.192645,-75.19264678,40.02289008
The University of the Arts,Philadelphia,PA,39.946017,-75.165888,-75.16588977,39.94602506
Cairn University-Langhorne,Langhorne,PA,40.165809,-74.909509,-74.9095107,40.16581712
Philadelphia College of Osteopathic Medicine,Philadelphia,PA,40.006308,-75.214198,-75.21419979,40.00631607
University of the Sciences,Philadelphia,PA,39.946552,-75.208241,-75.20824279,39.94656006
University of Pittsburgh-Bradford,Bradford,PA,41.943415,-78.673701,-78.67370402,41.94342331
University of Pittsburgh-Greensburg,Greensburg,PA,40.276447,-79.532676,-79.53267916,40.27645496
University of Pittsburgh-Johnstown,Johnstown,PA,40.268583,-78.832611,-78.83261394,40.26859098
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,40.444502,-79.954692,-79.9546953,40.44450997
University of Pittsburgh-Titusville,Titusville,PA,41.628536,-79.666945,-79.66694831,41.62854421
Pittsburgh Institute of Aeronautics,West Mifflin,PA,40.350515,-79.926995,-79.92699829,40.35052295
Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,40.459318,-79.930588,-79.9305913,40.45932598
Pittsburgh Technical College,Oakdale,PA,40.422829,-80.191938,-80.19194138,40.42283696
Pittsburgh Theological Seminary,Pittsburgh,PA,40.46719,-79.9209,-79.9209033,40.46719798
Prism Career Institute-Upper Darby,Upper Darby,PA,39.96167,-75.257471,-75.2574728,39.96167806
Point Park University,Pittsburgh,PA,40.438526,-80.001462,-80.00146532,40.43853397
Joseph F McCloskey School of Nursing at Schuylkill Health,Pottsville,PA,40.683923,-76.189164,-76.18916614,40.68393117
Reading Hospital School of Health Sciences,Reading,PA,40.325701,-75.95027,-75.95027204,40.32570911
Reconstructionist Rabbinical College,Wyncote,PA,40.086061,-75.151005,-75.15100678,40.08606909
Reformed Presbyterian Theological Seminary,Pittsburgh,PA,40.447851,-79.897293,-79.89729629,40.44785897
The Restaurant School at Walnut Hill College,Philadelphia,PA,39.955098,-75.20749,-75.20749178,39.95510606
Brightwood Career Institute-Broomall,Broomall,PA,39.961925,-75.355509,-75.35551083,39.96193306
Robert Morris University,Moon Township,PA,40.520415,-80.210468,-80.21047139,40.52042298
Rosedale Technical College,Pittsburgh,PA,40.45205,-80.103926,-80.10392935,40.45205797
Rosemont College,Rosemont,PA,40.033417,-75.32925,-75.32925183,40.03342508
Saint Francis University,Loretto,PA,40.502782,-78.638469,-78.6384719,40.50279004
Saint Joseph's University,Philadelphia,PA,39.994442,-75.238343,-75.2383448,39.99445007
Saint Vincent College,Latrobe,PA,40.29252,-79.403702,-79.40370512,40.29252797
Saint Vincent Seminary,Latrobe,PA,40.292651,-79.403762,-79.40376512,40.29265897
Schuylkill Technology Center,Frackville,PA,40.775735,-76.22938,-76.22938216,40.77574319
University of Scranton,Scranton,PA,41.40715,-75.658031,-75.65803302,41.40715833
Seton Hill University,Greensburg,PA,40.308623,-79.556228,-79.55623117,40.30863096
University of Pittsburgh Medical Center-Shadyside School of Nursing,Pittsburgh,PA,40.454415,-79.940831,-79.9408343,40.45442297
Sharon Regional Health System School of Nursing,Sharon,PA,41.232004,-80.496041,-80.49604453,41.2320121
Laurel Technical Institute,Sharon,PA,41.229017,-80.511433,-80.51143654,41.2290251
Shippensburg University of Pennsylvania,Shippensburg,PA,40.057405,-77.5229,-77.52290252,40.057413
Slippery Rock University of Pennsylvania,Slippery Rock,PA,41.062719,-80.045965,-80.04596838,41.06272708
Saint Charles Borromeo Seminary-Overbrook,Wynnewood,PA,39.99133,-75.255675,-75.2556768,39.99133807
South Hills School of Business & Technology,State College,PA,40.775033,-77.855466,-77.85546867,40.77504112
St Lukes Hospital School of Nursing,Bethlehem,PA,40.608185,-75.392396,-75.39239788,40.60819319
Susquehanna University,Selinsgrove,PA,40.79774,-76.87521,-76.87521237,40.79774817
Swarthmore College,Swarthmore,PA,39.905159,-75.354278,-75.35427983,39.90516705
Thaddeus Stevens College of Technology,Lancaster,PA,40.036745,-76.289147,-76.28914913,40.03675304
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,39.989483,-75.247987,-75.2479888,39.98949107
Temple University,Philadelphia,PA,39.980943,-75.158267,-75.15826877,39.98095107
Theological Seminary of the Reformed Episcopal Church,Blue Bell,PA,40.168935,-75.290124,-75.29012582,40.1689431
Thiel College,Greenville,PA,41.41354,-80.384383,-80.38438651,41.41354814
Thomas Jefferson University,Philadelphia,PA,39.948274,-75.158266,-75.15826777,39.94828206
Fortis Institute-Erie,Erie,PA,42.0604,-80.204328,-80.20433151,42.06040826
Triangle Tech Inc-Erie,Erie,PA,42.111919,-80.094975,-80.09497848,42.11192728
Triangle Tech Inc-Pittsburgh,Pittsburgh,PA,40.461988,-80.012666,-80.01266932,40.46199597
Triangle Tech Inc-Greensburg,Greensburg,PA,40.303124,-79.540082,-79.54008517,40.30313196
Triangle Tech Inc-Dubois,Falls Creek,PA,41.147974,-78.795923,-78.795926,41.14798215
Trinity Episcopal School for Ministry,Ambridge,PA,40.593686,-80.229331,-80.2293344,40.59369399
Ursinus College,Collegeville,PA,40.19405,-75.455654,-75.45565588,40.1940581
University of Valley Forge,Phoenixville,PA,40.118341,-75.54864,-75.5486419,40.11834908
Valley Forge Military College,Wayne,PA,40.053697,-75.382097,-75.38209885,40.05370508
Villanova University,Villanova,PA,40.039388,-75.345457,-75.34545883,40.03939608
Washington Hospital School of Nursing,Washington,PA,40.183618,-80.247081,-80.24708438,40.18362591
Washington Hospital School of Radiologic Technology,Washington,PA,40.183373,-80.246421,-80.24642438,40.18338091
Washington & Jefferson College,Washington,PA,40.171898,-80.240388,-80.24039137,40.17190591
Waynesburg University,Waynesburg,PA,39.899871,-80.186205,-80.18620834,39.89987886
Welder Training and Testing Institute,Allentown,PA,40.626469,-75.447263,-75.4472649,40.62647719
West Chester University of Pennsylvania,West Chester,PA,39.953398,-75.59812,-75.59812191,39.95340605
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,40.462332,-79.9455,-79.9455033,40.46233998
Pittsburgh Career Institute,Pittsburgh,PA,40.442822,-79.996164,-79.99616732,40.44282997
Westminster College,New Wilmington,PA,41.119272,-80.331017,-80.33102047,41.11928008
Westminster Theological Seminary,Glenside,PA,40.09815,-75.176327,-75.17632878,40.09815809
Widener University,Chester,PA,39.861689,-75.355363,-75.35536483,39.86169704
Wilkes University,Wilkes-Barre,PA,41.244199,-75.890262,-75.89026408,41.24420729
Wilson College,Chambersburg,PA,39.949659,-77.650712,-77.65071455,39.94966697
Yeshivath Beth Moshe,Scranton,PA,41.394852,-75.656191,-75.65619302,41.39486033
York College Pennsylvania,York,PA,39.94614,-76.727984,-76.72798626,39.94614801
YTI Career Institute-York,York,PA,39.992432,-76.660321,-76.66032325,39.99244002
Brown University,Providence,RI,41.82617,-71.40385,-71.40385067,41.82617856
Bryant University,Smithfield,RI,41.920092,-71.539547,-71.53954772,41.92010057
Johnson & Wales University-Providence,Providence,RI,41.819956,-71.41277,-71.41277068,41.81996456
New England Institute of Technology,East Greenwich,RI,41.661783,-71.502892,-71.5028927,41.66179153
New England Tractor Trailer Training School of Rhode Island,Pawtucket,RI,41.880296,-71.405906,-71.40590668,41.88030457
Providence College,Providence,RI,41.842742,-71.437446,-71.43744669,41.84275056
Rhode Island College,Providence,RI,41.842415,-71.46556,-71.46556069,41.84242356
University of Rhode Island,Kingston,RI,41.484691,-71.527356,-71.52735669,41.48469949
Rhode Island School of Design,Providence,RI,41.825935,-71.407692,-71.40769267,41.82594356
Roger Williams University,Bristol,RI,41.650214,-71.260374,-71.26037462,41.65022253
Salve Regina University,Newport,RI,41.471445,-71.301125,-71.30112562,41.47145349
St Joseph School of Nursing,North Providence,RI,41.856096,-71.459428,-71.45942869,41.85610456
Northpoint Bible College,Haverhill,MA,42.765366,-71.079336,-71.07933662,42.76537475
Aiken Technical College,Graniteville,SC,33.533633,-81.842423,-81.84242645,33.53363948
Allen University,Columbia,SC,34.010348,-81.020045,-81.02004823,34.01035461
Anderson University,Anderson,SC,34.515506,-82.640205,-82.64020873,34.51551266
Charleston Southern University,Charleston,SC,32.981986,-80.069288,-80.0692909,32.98199242
Technical College of the Lowcountry,Beaufort,SC,32.420197,-80.689468,-80.68947106,32.42020327
Benedict College,Columbia,SC,34.011285,-81.021412,-81.02141523,34.01129161
Bob Jones University,Greenville,SC,34.87402,-82.36329,-82.36329367,34.87402675
Southern Wesleyan University,Central,SC,34.728068,-82.761586,-82.76158978,34.7280747
College of Charleston,Charleston,SC,32.783142,-79.937251,-79.93725385,32.78314838
Northeastern Technical College,Cheraw,SC,34.698248,-79.939245,-79.93924794,34.6982548
Citadel Military College of South Carolina,Charleston,SC,32.796975,-79.961399,-79.96140186,32.79698138
Claflin University,Orangeburg,SC,33.498444,-80.854319,-80.85432216,33.49845051
Clemson University,Clemson,SC,34.679381,-82.835114,-82.8351178,34.67938769
Clinton College,Rock Hill,SC,34.913721,-81.043469,-81.04347228,34.91372781
Coker College,Hartsville,SC,34.37709,-80.067713,-80.06771597,34.37709673
Columbia International University,Columbia,SC,34.081233,-81.069502,-81.06950525,34.08123963
Columbia College,Columbia,SC,34.045581,-81.029967,-81.02997024,34.04558762
Converse College,Spartanburg,SC,34.956232,-81.918829,-81.91883255,34.95623878
Denmark Technical College,Denmark,SC,33.313355,-81.123629,-81.12363223,33.31336146
Erskine College,Due West,SC,34.330674,-82.390797,-82.39080065,34.33068063
Florence-Darlington Technical College,Florence,SC,34.243882,-79.81469,-79.81469288,34.24388871
Forrest College,Anderson,SC,34.498989,-82.640728,-82.64073173,34.49899566
Francis Marion University,Florence,SC,34.192277,-79.655515,-79.65551783,34.1922837
Furman University,Greenville,SC,34.924676,-82.440458,-82.4404617,34.92468276
Greenville Technical College,Greenville,SC,34.826212,-82.371178,-82.37118167,34.82621874
Horry-Georgetown Technical College,Conway,SC,33.79614,-79.003611,-79.00361362,33.79614663
Lander University,Greenwood,SC,34.201143,-82.166351,-82.16635458,34.20114961
Limestone College,Gaffney,SC,35.052919,-81.648033,-81.64803647,35.05292581
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,Columbia,SC,34.042019,-81.039018,-81.03902124,34.04202562
Medical University of South Carolina,Charleston,SC,32.786017,-79.946853,-79.94685585,32.78602338
Midlands Technical College,West Columbia,SC,33.949325,-81.115761,-81.11576426,33.9493316
Morris College,Sumter,SC,33.938707,-80.346346,-80.34634903,33.93871362
Newberry College,Newberry,SC,34.285868,-81.619777,-81.61978042,34.28587465
North Greenville University,Tigerville,SC,35.069758,-82.37026,-82.37026369,35.06976479
Orangeburg Calhoun Technical College,Orangeburg,SC,33.54485,-80.82927,-80.82927315,33.54485652
Piedmont Technical College,Greenwood,SC,34.207372,-82.120834,-82.12083757,34.20737862
Presbyterian College,Clinton,SC,34.465834,-81.87448,-81.87448351,34.46584068
University of South Carolina-Aiken,Aiken,SC,33.572917,-81.767901,-81.76790443,33.57292349
University of South Carolina-Beaufort,Bluffton,SC,32.303308,-80.973595,-80.97359814,32.30331423
University of South Carolina-Columbia,Columbia,SC,33.996788,-81.026935,-81.02693823,33.99679461
University of South Carolina-Lancaster,Lancaster,SC,34.736535,-80.787268,-80.7872712,34.73654178
University of South Carolina-Salkehatchie,Allendale,SC,33.014312,-81.301838,-81.30184127,33.01431838
University of South Carolina-Sumter,Sumter,SC,33.933501,-80.374205,-80.37420803,33.93350762
University of South Carolina-Union,Union,SC,34.716337,-81.619238,-81.61924144,34.71634374
Coastal Carolina University,Conway,SC,33.794995,-79.011767,-79.01176962,33.79500163
South Carolina State University,Orangeburg,SC,33.497439,-80.851185,-80.85118816,33.49744551
University of South Carolina-Upstate,Spartanburg,SC,34.996403,-81.970583,-81.97058656,34.99640979
Sherman College of Straight Chiropractic,Spartanburg,SC,35.014125,-81.986044,-81.98604757,35.01413179
Spartanburg Methodist College,Spartanburg,SC,34.954585,-81.970898,-81.97090156,34.95459178
Central Carolina Technical College,Sumter,SC,33.9328,-80.367398,-80.36740103,33.93280662
Tri-County Technical College,Pendleton,SC,34.641914,-82.792015,-82.79201879,34.64192068
Trident Technical College,Charleston,SC,32.925912,-80.030388,-80.03039089,32.9259184
Voorhees College,Denmark,SC,33.307199,-81.127863,-81.12786623,33.30720545
Williamsburg Technical College,Kingstree,SC,33.657085,-79.817984,-79.81798686,33.65709157
Winthrop University,Rock Hill,SC,34.941515,-81.031404,-81.03140728,34.94152181
Wofford College,Spartanburg,SC,34.957914,-81.934572,-81.93457555,34.95792078
York Technical College,Rock Hill,SC,34.934546,-80.994166,-80.99416927,34.93455281
Augustana University,Sioux Falls,SD,43.525939,-96.738507,-96.73851552,43.52594654
Black Hills State University,Spearfish,SD,44.494889,-103.870966,-103.8709765,44.49489612
Dakota State University,Madison,SD,44.013014,-97.113358,-97.11336669,44.01302158
Dakota Wesleyan University,Mitchell,SD,43.695995,-98.030566,-98.03057489,43.69600247
Headlines Academy Inc,Rapid City,SD,44.08202,-103.222781,-103.2227913,44.08202712
Lake Area Technical Institute,Watertown,SD,44.901714,-97.095229,-97.09523781,44.90172171
Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD,43.533972,-96.715584,-96.71559251,43.53397954
Mitchell Technical Institute,Mitchell,SD,43.688663,-98.002505,-98.00251388,43.68867047
Mount Marty College,Yankton,SD,42.874475,-97.409904,-97.40991261,42.8744824
National American University-Rapid City,Rapid City,SD,44.03152,-103.250223,-103.2502333,44.03152711
National American University-Sioux Falls,Sioux Falls,SD,43.495677,-96.789651,-96.78965953,43.49568453
Sioux Falls Seminary,Sioux Falls,SD,43.525446,-96.735896,-96.73590452,43.52545354
Northern State University,Aberdeen,SD,45.452555,-98.4837,-98.48370927,45.45256267
Oglala Lakota College,Kyle,SD,43.366813,-102.240331,-102.2403409,43.36682011
Presentation College,Aberdeen,SD,45.483339,-98.49129,-98.49129927,45.48334668
Avera Sacred Heart Hospital,Yankton,SD,42.872359,-97.407865,-97.40787361,42.8723664
South Dakota School of Mines and Technology,Rapid City,SD,44.075439,-103.205753,-103.2057633,44.07544612
South Dakota State University,Brookings,SD,44.317485,-96.782139,-96.78214764,44.31749265
Sinte Gleska University,Mission,SD,43.298878,-100.622549,-100.6225585,43.29888522
University of Sioux Falls,Sioux Falls,SD,43.531574,-96.738229,-96.73823752,43.53158154
Sanford Medical Center,Sioux Falls,SD,43.536408,-96.743144,-96.74315252,43.53641554
Sisseton Wahpeton College,Sisseton,SD,45.562731,-97.060835,-97.0608439,45.5627388
Southeast Technical Institute,Sioux Falls,SD,43.570446,-96.780241,-96.78024953,43.57045354
Stewart School,Sioux Falls,SD,43.555418,-96.746095,-96.74610352,43.55542554
University of South Dakota,Vermillion,SD,42.784558,-96.924664,-96.92467247,42.78456542
Western Dakota Technical Institute,Rapid City,SD,44.076648,-103.179501,-103.1795113,44.07665513
American Baptist College,Nashville,TN,36.201155,-86.789301,-86.78930604,36.20116184
Aquinas College,Nashville,TN,36.132187,-86.844214,-86.84421905,36.13219383
Tennessee College of Applied Technology-Athens,Athens,TN,35.442944,-84.630484,-84.63048837,35.44295078
Austin Peay State University,Clarksville,TN,36.533319,-87.354081,-87.35408622,36.53332588
Baptist Memorial College of Health Sciences,Memphis,TN,35.138415,-90.027501,-90.02750688,35.13842149
Belmont University,Nashville,TN,36.133866,-86.794715,-86.79472004,36.13387283
Bethel University,McKenzie,TN,36.139271,-88.516162,-88.51616753,36.13927775
Bryan College-Dayton,Dayton,TN,35.497209,-84.999552,-84.99955648,35.49721578
Carson-Newman University,Jefferson City,TN,36.122224,-83.492183,-83.49218708,36.12223097
Pentecostal Theological Seminary,Cleveland,TN,35.162528,-84.868326,-84.86833042,35.16253471
Concorde Career College-Memphis,Memphis,TN,35.112191,-89.892093,-89.89209884,35.11219749
Lipscomb University,Nashville,TN,36.10469,-86.799304,-86.79930904,36.10469682
Tennessee College of Applied Technology-Dickson,Dickson,TN,36.050549,-87.366455,-87.36646019,36.05055579
Daymar College-Nashville,Nashville,TN,36.14608,-86.671921,-86.671926,36.14608684
East Tennessee State University,Johnson City,TN,36.301643,-82.366954,-82.36695776,36.30165005
Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN,35.13314,-85.238131,-85.23813553,35.13314669
Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,36.366083,-82.178011,-82.1780147,36.36609007
Welch College,Nashville,TN,36.134633,-86.826158,-86.82616305,36.13463983
Freed-Hardeman University,Henderson,TN,35.440073,-88.639418,-88.63942351,35.44007961
Tennessee College of Applied Technology-Harriman,Harriman,TN,35.966107,-84.517871,-84.51787537,35.96611389
Tennessee College of Applied Technology-Hartsville,Hartsville,TN,36.387191,-86.14366,-86.14366487,36.38719791
Hiwassee College,Madisonville,TN,35.557691,-84.364631,-84.3646353,35.55769782
Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,35.548945,-87.57487,-87.57487522,35.54895168
Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN,36.317415,-84.208987,-84.2089913,36.31742198
John A Gupton College,Nashville,TN,36.156603,-86.7948,-86.79480504,36.15660983
Johnson University,Knoxville,TN,35.937152,-83.750336,-83.75034014,35.93715892
Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,35.84702,-86.416831,-86.41683591,35.84702679
King University,Bristol,TN,36.585899,-82.156532,-82.15653571,36.58590612
South College,Knoxville,TN,35.96163,-83.974783,-83.97478721,35.96163691
Lane College,Jackson,TN,35.628197,-88.806832,-88.80683757,35.62820364
